sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
3660;DHT22;1846;51.482;7.224;2023-02-15T00:02:00;5.00;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:04:26;5.00;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:07:13;5.00;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:09:40;5.00;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:12:07;5.00;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:14:35;5.00;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:17:01;4.90;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:19:30;4.80;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:21:57;4.80;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:24:25;4.80;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:26:52;4.80;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:29:19;4.90;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:31:46;4.80;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:34:15;4.70;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:36:42;4.80;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:39:09;4.80;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:41:38;4.70;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:44:05;4.80;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:46:32;4.70;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:48:59;4.70;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:51:26;4.70;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:53:53;4.70;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:56:20;4.60;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T00:58:48;4.60;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T01:01:17;4.60;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T01:03:45;4.60;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T01:06:12;4.60;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T01:08:40;4.50;99.90
3660;DHT22;1846;51.482;7.224;2023-02-15T01:11:08;4.50;99.90
