sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
3659;SDS011;1846;51.482;7.224;2023-02-20T00:02:06;5.35;;;3.85;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:04:33;4.15;;;3.33;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:06:59;5.70;;;4.30;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:09:27;7.95;;;5.13;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:11:54;8.82;;;5.20;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:14:21;7.93;;;5.25;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:16:48;7.20;;;5.45;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:19:15;8.98;;;6.40;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:21:45;11.65;;;7.03;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:24:12;11.40;;;7.68;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:26:45;11.67;;;7.60;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:29:13;12.80;;;7.22;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:31:41;11.95;;;8.50;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:34:08;16.52;;;8.77;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:36:35;14.95;;;8.80;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:39:02;13.43;;;8.57;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:41:28;12.93;;;8.70;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:43:57;13.87;;;9.10;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:46:23;15.30;;;10.05;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:48:50;13.57;;;9.15;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:51:17;17.08;;;10.18;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:53:44;20.80;;;9.43;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:56:11;13.80;;;10.25;;
3659;SDS011;1846;51.482;7.224;2023-02-20T00:58:38;17.00;;;10.67;;
3659;SDS011;1846;51.482;7.224;2023-02-20T01:01:06;13.67;;;9.70;;
3659;SDS011;1846;51.482;7.224;2023-02-20T01:03:33;19.67;;;10.57;;
3659;SDS011;1846;51.482;7.224;2023-02-20T01:06:00;18.90;;;10.30;;
3659;SDS011;1846;51.482;7.224;2023-02-20T01:08:26;15.98;;;10.02;;
3659;SDS011;1846;51.482;7.224;2023-02-20T01:10:53;13.65;;;9.25;;
3659;SDS011;1846;51.482;7.224;2023-02-20T01:13:20;17.10;;;10.73;;
3659;SDS011;1846;51.482;7.224;2023-02-20T01:15:47;15.10;;;10.95;;
3659;SDS011;1846;51.482;7.224;2023-02-20T01:18:15;19.63;;;12.20;;
